id,active,child_ids/id,parent_id/id,codigo,item_ids/id,parent_left,name,parent_right,sequence,tipo
__export__.plan_contratacion_idu_clasificador_proyectos_1,True,,,232,,,Fortalecimiento Institucional para el mejoramiento de la gestión del IDU,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_2,True,,,543,,,Infraestructura para el Sistema Integrado de Transporte Público,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_3,True,,,809,,,Desarrollo y Sostenibilidad de la Infraestructura para la Movilidad,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_4,True,,,810,,,Desarrollo y Conservación del Espacio Público y la Red de CicloRutas,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_5,True,,,954,,,Fortalecimiento de las Tecnologías de la Información y las Comunicaciones - TIC,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_6,True,,,955,,,"Transparencia, probidad, lucha contra la corrupción y control social efectivo e incluyente en el IDU",,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_7,True,,,762,,,Atención Integral del Riesgo al Sistema de Movilidad y Espacio Público frente a la Ocurrencia de Eventos de Emergencia y Catastróficos,,,Proyecto de Inversión
__export__.plan_contratacion_idu_clasificador_proyectos_8,True,,__export__.plan_contratacion_idu_clasificador_proyectos_1,235,,,Sistemas de mejoramiento de la gestión y de la capacidad operativa de las entidades,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_9,True,,__export__.plan_contratacion_idu_clasificador_proyectos_1,236,,,Dignificación del empleo público,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_10,True,,__export__.plan_contratacion_idu_clasificador_proyectos_1,237,,,Gerencia Jurídica Integral,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_11,True,,__export__.plan_contratacion_idu_clasificador_proyectos_1,238,,,Bogotá Humana al servicio de la ciudadanía,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_12,True,,__export__.plan_contratacion_idu_clasificador_proyectos_2,187,,,Construcción e integración de la red férrea como eje estructurador del sistema de transporte público,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_13,True,,__export__.plan_contratacion_idu_clasificador_proyectos_2,188,,,Ampliación e integración de troncales,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_14,True,,__export__.plan_contratacion_idu_clasificador_proyectos_2,189,,,Implementación del Sistema Integrado de Transporte Público - SITP,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_15,True,,__export__.plan_contratacion_idu_clasificador_proyectos_3,192,,,"Ampliación, mejoramiento y conservación del subsistema vial de la ciudad (arterial, intermedia, local y rural)",,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_16,True,,__export__.plan_contratacion_idu_clasificador_proyectos_4,194,,,Ampliación y optimización de la red de ciclorrutas y promoción del uso de la bicicleta,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_17,True,,__export__.plan_contratacion_idu_clasificador_proyectos_4,195,,,"Construcción, operación y conservación de espacio público peatonal",,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_18,True,,__export__.plan_contratacion_idu_clasificador_proyectos_5,241,,,Bogotá: Hacia un gobierno digital y una ciudad inteligente,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_19,True,,__export__.plan_contratacion_idu_clasificador_proyectos_6,222,,,"Fortalecimiento de la capacidad institucional para identificar, prevenir y resolver problemas de corrupción y para identificar oportunidades de probidad",,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_20,True,,__export__.plan_contratacion_idu_clasificador_proyectos_7,199,,,Territorio Menos Vulnerable a Riesgos y Cambio Climático Acc. Integra,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_21,True,,__export__.plan_contratacion_idu_clasificador_proyectos_2,191,,,Implementación de la Red de Estacionamientos en el marco del SIPT,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_22,True,,__export__.plan_contratacion_idu_clasificador_proyectos_7,199,,,Territorios Menos Vulnerables Frente a Riesgos y Cambio Climático a través de Acciones Integrales,,,Proyecto Prioritario
__export__.plan_contratacion_idu_clasificador_proyectos_23,True,,__export__.plan_contratacion_idu_clasificador_proyectos_7,202,,,Gestión Integral de Riesgos y Estabilidad de Terreno Entorno a la Red de Movilidad,,,Proyecto Prioritario
