id,name
__export__.plan_contratacion_idu_plan_tipo_proceso_item_1,Contrato Nuevo
__export__.plan_contratacion_idu_plan_tipo_proceso_item_2,Adición
__export__.plan_contratacion_idu_plan_tipo_proceso_item_3,Reconocimiento a Contrato
__export__.plan_contratacion_idu_plan_tipo_proceso_item_4,Adición y Prórroga
__export__.plan_contratacion_idu_plan_tipo_proceso_item_5,Orden de Servicio
__export__.plan_contratacion_idu_plan_tipo_proceso_item_6,Compensación Social
__export__.plan_contratacion_idu_plan_tipo_proceso_item_7,Adquisición Predial
__export__.plan_contratacion_idu_plan_tipo_proceso_item_8,Proceso en Curso
__export__.plan_contratacion_idu_plan_tipo_proceso_item_9,Pago Ajustes
__export__.plan_contratacion_idu_plan_tipo_proceso_item_10,Pago Sentencias Judiciales y Otros
